GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
admin-service,com.idexcel.adminservice.controller,LenderController,70,28,2,0,17,9,7,3,6,3
admin-service,com.idexcel.adminservice.entity,Lender,82,51,0,0,3,9,10,9,10,9
admin-service,com.idexcel.adminservice.entity,LenderStatus,0,24,0,0,0,3,0,1,0,1
admin-service,com.idexcel.adminservice.entity,LenderAddress,55,33,0,0,3,6,7,6,7,6
admin-service,com.idexcel.adminservice.service.impl,LenderServiceImpl,174,11,10,0,40,4,14,1,9,1
admin-service,com.idexcel.adminservice.exception,LenderNotFoundException,23,0,0,0,10,0,5,0,5,0
admin-service,com.idexcel.adminservice.exception,LenderRestExceptionHandler,15,18,0,0,5,6,1,2,1,2
admin-service,com.idexcel.adminservice.exception,LenderErrorResponse,3,21,0,0,1,4,1,4,1,4
admin-service,com.idexcel.adminservice.exception,LenderAlreadyExistException,23,0,0,0,10,0,5,0,5,0
admin-service,com.idexcel.adminservice.dto,AdminDTO,6,12,0,0,2,2,2,2,2,2
admin-service,com.idexcel.adminservice.dto,PatchDTO,14,12,0,0,3,2,4,2,4,2
admin-service,com.idexcel.adminservice.dto,ModelMapperDTO,36,8,0,0,8,2,4,1,4,1
admin-service,com.idexcel.adminservice.dto,GetDTO,3,0,0,0,1,0,1,0,1,0
admin-service,com.idexcel.adminservice,AdminServiceApplication,5,3,0,0,2,1,1,1,1,1
